family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
nitride,10,0,5,5,242,50,16,0.0001,0.11757167344835918,0.16298218369483947,0.09397432953119278,cpu,28.724265813827515,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N10_seed0/finetune_last2/summary.json
nitride,10,1,5,5,242,50,16,0.0001,0.08263066216287288,0.0352289617061615,0.03392165154218674,cpu,47.79323363304138,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N10_seed1/finetune_last2/summary.json
nitride,10,2,5,5,242,50,16,0.0001,0.09605327487946295,0.06159613430500031,0.06397955864667892,cpu,37.62053060531616,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N10_seed2/finetune_last2/summary.json
nitride,50,0,45,5,242,50,16,0.0001,0.16176314320230534,0.15774935036897658,0.15771538019180298,unknown,,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N50_seed0/finetune_last2/summary.json
nitride,50,1,45,5,242,50,16,0.0001,0.160063459753436,0.1310125435392062,0.12945875525474548,cpu,84.11966681480408,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N50_seed1/finetune_last2/summary.json
nitride,50,2,45,5,242,50,16,0.0001,0.1226664535039343,0.0875598433530993,0.10149892419576645,cpu,72.38707876205444,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N50_seed2/finetune_last2/summary.json
nitride,100,0,90,10,242,50,16,0.0001,0.255990722909385,0.23735724909024106,0.2782733738422394,cpu,96.20035457611084,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N100_seed0/finetune_last2/summary.json
nitride,100,1,90,10,242,50,16,0.0001,0.288266327455332,0.25356523025677435,0.18874546885490417,cpu,139.86382818222046,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N100_seed1/finetune_last2/summary.json
nitride,100,2,90,10,242,50,16,0.0001,0.1683604518906021,0.13355062870282886,0.14363500475883484,cpu,129.29008746147156,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N100_seed2/finetune_last2/summary.json
nitride,200,0,180,20,242,50,16,0.0001,0.14083734549551216,0.10243660159822968,0.14584745466709137,cpu,173.9663269519806,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N200_seed0/finetune_last2/summary.json
nitride,200,1,180,20,242,50,16,0.0001,0.2507670267969986,0.13101472559954144,0.08843855559825897,cpu,223.2439148426056,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N200_seed1/finetune_last2/summary.json
nitride,200,2,180,20,242,50,16,0.0001,0.134121102912059,0.09302730315248482,0.08733267709612846,cpu,204.6535403728485,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N200_seed2/finetune_last2/summary.json
nitride,500,0,450,50,242,50,16,0.0001,0.11103363031105808,0.07486418377021134,0.06797443330287933,cpu,456.00628685951233,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N500_seed0/finetune_last2/summary.json
nitride,500,1,450,50,242,50,16,0.0001,0.11399038155247604,0.07241856164040252,0.0632313247770071,cpu,441.9364914894104,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N500_seed1/finetune_last2/summary.json
